video_id,generator,vlm,strategy,target_letter,recognized_as,recog_correct,handshape_score,sign_quality,prompt_following,notes
Kling_openai_zero_shot_A,Kling,openai,zero_shot,A,A,1,3,2,2,the hand morphed and turned 360 degrees before performing the sign
Kling_openai_zero_shot_B,Kling,openai,zero_shot,B,none,0,2,5,2,
Kling_openai_zero_shot_C,Kling,openai,zero_shot,C,none,0,2,5,3,
Kling_openai_zero_shot_O,Kling,openai,zero_shot,O,A,0,1,5,3,
Kling_openai_zero_shot_V,Kling,openai,zero_shot,V,none,0,3,5,2,
Kling_openai_role_prompted_A,Kling,openai,role_prompted,A,A,1,5,5,4,
Kling_openai_role_prompted_B,Kling,openai,role_prompted,B,A,0,1,5,2,
Kling_openai_role_prompted_C,Kling,openai,role_prompted,C,V,0,1,5,3,
Kling_openai_role_prompted_O,Kling,openai,role_prompted,O,A,0,1,5,2,
Kling_openai_role_prompted_V,Kling,openai,role_prompted,V,V,1,5,5,5,
Kling_openai_chain_of_thought_A,Kling,openai,chain_of_thought,A,A,1,4,5,4,
Kling_openai_chain_of_thought_B,Kling,openai,chain_of_thought,B,O,0,1,5,3,
Kling_openai_chain_of_thought_C,Kling,openai,chain_of_thought,C,none,0,1,5,2,
Kling_openai_chain_of_thought_O,Kling,openai,chain_of_thought,O,none,0,1,5,3,
Kling_openai_chain_of_thought_V,Kling,openai,chain_of_thought,V,none,0,1,5,3,
Kling_openai_schema_constrained_A,Kling,openai,schema_constrained,A,A,1,4,5,5,
Kling_openai_schema_constrained_B,Kling,openai,schema_constrained,B,none,0,1,5,4,
Kling_openai_schema_constrained_C,Kling,openai,schema_constrained,C,none,0,1,5,3,
Kling_openai_schema_constrained_O,Kling,openai,schema_constrained,O,none,0,2,5,4,
Kling_openai_schema_constrained_V,Kling,openai,schema_constrained,V,none,0,1,5,1,
Kling_openai_few_shot_A,Kling,openai,few_shot,A,A,1,5,5,4,
Kling_openai_few_shot_B,Kling,openai,few_shot,B,V,0,1,5,2,
Kling_openai_few_shot_C,Kling,openai,few_shot,C,none,0,4,5,2,"Almost, all that was left was distancing the thumb and the rest of the fingers."
Kling_openai_few_shot_O,Kling,openai,few_shot,O,A,0,3,5,4,Only lacks the curvature
Kling_openai_few_shot_V,Kling,openai,few_shot,V,V,1,5,5,5,
Kling_claude_zero_shot_A,Kling,claude,zero_shot,A,A,1,4,5,5,
Kling_claude_zero_shot_B,Kling,claude,zero_shot,B,none,0,1,5,2,
Kling_claude_zero_shot_C,Kling,claude,zero_shot,C,none,0,1,5,2,
Kling_claude_zero_shot_O,Kling,claude,zero_shot,O,none,0,1,5,5,
Kling_claude_zero_shot_V,Kling,claude,zero_shot,V,none,0,1,5,2,
Kling_claude_role_prompted_A,Kling,claude,role_prompted,A,none,0,1,5,4,
Kling_claude_role_prompted_B,Kling,claude,role_prompted,B,none,0,3,5,2,
Kling_claude_role_prompted_C,Kling,claude,role_prompted,C,none,0,1,5,2,
Kling_claude_role_prompted_O,Kling,claude,role_prompted,O,none,0,1,5,3,
Kling_claude_role_prompted_V,Kling,claude,role_prompted,V,V,1,5,4,5,
Kling_claude_chain_of_thought_A,Kling,claude,chain_of_thought,A,none,0,4,5,5,
Kling_claude_chain_of_thought_B,Kling,claude,chain_of_thought,B,none,0,1,2,4,Extra fingers
Kling_claude_chain_of_thought_C,Kling,claude,chain_of_thought,C,none,0,1,5,3,
Kling_claude_chain_of_thought_O,Kling,claude,chain_of_thought,O,A,0,1,5,3,
Kling_claude_chain_of_thought_V,Kling,claude,chain_of_thought,V,none,0,2,5,2,
Kling_claude_schema_constrained_A,Kling,claude,schema_constrained,A,A,1,5,5,4,
Kling_claude_schema_constrained_B,Kling,claude,schema_constrained,B,none,0,1,5,1,
Kling_claude_schema_constrained_C,Kling,claude,schema_constrained,C,A,0,1,5,4,
Kling_claude_schema_constrained_O,Kling,claude,schema_constrained,O,none,0,1,5,5,
Kling_claude_schema_constrained_V,Kling,claude,schema_constrained,V,none,0,1,3,1,
Kling_claude_few_shot_A,Kling,claude,few_shot,A,none,0,1,5,4,
Kling_claude_few_shot_B,Kling,claude,few_shot,B,V,0,1,5,2,
Kling_claude_few_shot_C,Kling,claude,few_shot,C,A,0,1,5,2,
Kling_claude_few_shot_O,Kling,claude,few_shot,O,none,0,2,5,1,
Kling_claude_few_shot_V,Kling,claude,few_shot,V,none,0,2,5,2,
Kling_gemini_zero_shot_A,Kling,gemini,zero_shot,A,V,0,2,5,3,there are 2 signs in this video
Kling_gemini_zero_shot_B,Kling,gemini,zero_shot,B,A,0,1,5,1,
Kling_gemini_zero_shot_C,Kling,gemini,zero_shot,C,none,0,2,5,1,
Kling_gemini_zero_shot_O,Kling,gemini,zero_shot,O,A,0,1,5,4,
Kling_gemini_zero_shot_V,Kling,gemini,zero_shot,V,A,0,1,1,2,
Kling_gemini_role_prompted_A,Kling,gemini,role_prompted,A,A,1,3,5,4,
Kling_gemini_role_prompted_B,Kling,gemini,role_prompted,B,B,1,4,5,3,
Kling_gemini_role_prompted_C,Kling,gemini,role_prompted,C,none,0,3,4,4,
Kling_gemini_role_prompted_O,Kling,gemini,role_prompted,O,B,0,1,5,1,
Kling_gemini_role_prompted_V,Kling,gemini,role_prompted,V,none,0,1,1,2,Missing thumb's joint with palm
Kling_gemini_chain_of_thought_A,Kling,gemini,chain_of_thought,A,A,1,4,4,4,
Kling_gemini_chain_of_thought_B,Kling,gemini,chain_of_thought,B,none,0,4,5,5,
Kling_gemini_chain_of_thought_C,Kling,gemini,chain_of_thought,C,O,0,2,5,4,
Kling_gemini_chain_of_thought_O,Kling,gemini,chain_of_thought,O,none,0,1,5,4,
Kling_gemini_chain_of_thought_V,Kling,gemini,chain_of_thought,V,none,0,2,5,4,
Kling_gemini_schema_constrained_A,Kling,gemini,schema_constrained,A,A,1,5,5,5,
Kling_gemini_schema_constrained_B,Kling,gemini,schema_constrained,B,none,0,1,5,1,
Kling_gemini_schema_constrained_C,Kling,gemini,schema_constrained,C,A,0,1,5,4,
Kling_gemini_schema_constrained_O,Kling,gemini,schema_constrained,O,none,0,2,5,3,
